Epoch 1089
Wins - A: 15, B: 36

 14 | B | Recover    ['0.49', '0.00', '0.33', '0.17']  40 | 100 |  0.01 | {}
 15 | B | Recover    ['0.11', '0.00', '0.63', '0.25']  35 | 100 | 10.09 | {'Poison': 2}

Epoch 1092
Wins - A: 15, B: 39

  0 | A | Special    ['0.19', '0.00', '0.07', '0.75'] 100 |  70 |  0.01 | {}
  1 | A | Recover    ['0.17', '0.00', '0.06', '0.77']  95 | 100 |  0.01 | {'Poison': 2}
  2 | A | Attack     ['0.06', '0.00', '0.05', '0.88']  90 | 100 |  0.01 | {'Poison': 2}
  3 | A | Recover    ['0.05', '0.00', '0.03', '0.91']  85 | 100 | -0.01 | {'Poison': 2}
  4 | A | Special    ['0.04', '0.00', '0.14', '0.81']  60 |  70 |  0.01 | {'Poison': 1}
  5 | A | Recover    ['0.09', '0.00', '0.14', '0.76']  55 | 100 |  0.01 | {}
  6 | A | Recover    ['0.07', '0.01', '0.42', '0.50']  35 | 100 | -0.01 | {}
  7 | A | Recover    ['0.05', '0.01', '0.24', '0.70']  30 | 100 | -0.01 | {'Poison': 2}
  8 | A | Special    ['0.07', '0.01', '0.54', '0.39']   5 |  70 |  0.01 | {'Poison': 1}
  9 | A | *POISONED* ['0.00', '0.00', '0.00', '0.00']   0 |  70 | -9.97 | {'Poison': 1}
  0 | B | Special    ['0.03', '0.00', '0.75', '0.23']  95 |  70 |  0.01 | {'Poison': 2}
  1 | B | Special    ['0.10', '0.00', '0.68', '0.22']  90 |  40 |  0.01 | {'Poison': 1}
  2 | B | Special    ['0.52', '0.00', '0.33', '0.16']  65 |  10 |  0.01 | {}
  3 | B | Attack     ['0.82', '0.00', '0.10', '0.07']  65 |  20 |  0.01 | {}
  4 | B | Special    ['0.41', '0.01', '0.37', '0.22']  60 |  20 |  0.00 | {'Poison': 2}
  5 | B | Attack     ['0.61', '0.00', '0.26', '0.12']  55 |  30 |  0.01 | {'Poison': 1}
  6 | B | Special    ['0.52', '0.00', '0.34', '0.14']  50 |   0 |  0.01 | {}
  7 | B | Attack     ['0.44', '0.00', '0.36', '0.20']  50 |  10 |  0.01 | {}
  8 | B | Special    ['0.42', '0.00', '0.38', '0.19']  45 |  10 | 10.07 | {'Poison': 2}

Epoch 1093
Wins - A: 15, B: 40

  0 | A | Recover    ['0.19', '0.00', '0.07', '0.75'] 100 | 100 | -0.01 | {}
  1 | A | Recover    ['0.11', '0.00', '0.07', '0.82']  95 | 100 | -0.01 | {'Poison': 2}
  2 | A | Recover    ['0.21', '0.00', '0.09', '0.70']  90 | 100 | -0.01 | {'Poison': 1}
  3 | A | Recover    ['0.12', '0.00', '0.09', '0.79']  85 | 100 | -0.01 | {'Poison': 2}
  4 | A | Recover    ['0.21', '0.00', '0.13', '0.65']  80 | 100 | -0.01 | {'Poison': 1}
  5 | A | Special    ['0.21', '0.00', '0.17', '0.62']  75 |  70 |  0.01 | {}
  6 | A | Recover    ['0.20', '0.00', '0.13', '0.66']  70 | 100 |  0.01 | {'Poison': 2}
  7 | A | Special    ['0.07', '0.00', '0.17', '0.76']  65 |  70 |  0.01 | {'Poison': 2}
  8 | A | Attack     ['0.06', '0.00', '0.19', '0.75']  60 |  80 |  0.01 | {'Poison': 2}
  9 | A | Special    ['0.08', '0.01', '0.35', '0.56']  35 |  50 |  0.01 | {'Poison': 1}
 10 | A | Recover    ['0.23', '0.03', '0.45', '0.30']  30 | 100 |  0.01 | {}
 11 | A | Attack     ['0.18', '0.01', '0.57', '0.25']  30 | 100 |  0.01 | {}
 12 | A | Special    ['0.20', '0.01', '0.45', '0.34']  25 |  70 |  0.01 | {'Poison': 2}
 13 | A | Special    ['0.22', '0.02', '0.29', '0.47']  20 |  40 |  0.01 | {'Poison': 2}
 13 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 |  40 | -9.96 | {'Poison': 2}
  0 | B | Special    ['0.04', '0.00', '0.75', '0.21']  95 |  70 |  0.01 | {'Poison': 1}
  1 | B | Recover    ['0.10', '0.00', '0.68', '0.22']  90 | 100 |  0.01 | {}
  2 | B | Special    ['0.05', '0.00', '0.74', '0.22']  90 |  70 |  0.01 | {}
  3 | B | Recover    ['0.08', '0.00', '0.71', '0.21']  90 | 100 |  0.01 | {}
  4 | B | Recover    ['0.05', '0.00', '0.75', '0.21']  90 | 100 | -0.01 | {}
  5 | B | Special    ['0.04', '0.00', '0.72', '0.24']  85 |  70 |  0.01 | {'Poison': 2}
  6 | B | Special    ['0.10', '0.00', '0.70', '0.20']  80 |  40 |  0.01 | {'Poison': 1}
  7 | B | Special    ['0.11', '0.00', '0.63', '0.25']  75 |  10 |  0.01 | {'Poison': 2}
  8 | B | Attack     ['0.66', '0.01', '0.20', '0.13']  50 |  20 |  0.01 | {'Poison': 1}
  9 | B | Recover    ['0.24', '0.01', '0.49', '0.26']  45 |  80 |  0.01 | {'Poison': 2}
 10 | B | Defend     ['0.44', '0.00', '0.35', '0.21']  40 |  90 |  0.01 | {'Poison': 1, 'Defend': 1}
 11 | B | Special    ['0.44', '0.00', '0.31', '0.25']  25 |  60 |  0.01 | {}
 12 | B | Special    ['0.40', '0.00', '0.34', '0.26']  20 |  30 | 10.13 | {'Poison': 2}

Epoch 1094
Wins - A: 15, B: 41

  0 | A | Recover    ['0.19', '0.00', '0.08', '0.73']  95 | 100 | -0.01 | {'Poison': 1}
  1 | A | Recover    ['0.20', '0.00', '0.10', '0.70']  90 | 100 | -0.01 | {}
  2 | A | Recover    ['0.12', '0.00', '0.09', '0.79']  85 | 100 | -0.01 | {'Poison': 2}
  3 | A | Special    ['0.16', '0.00', '0.28', '0.57']  60 |  70 |  0.01 | {'Poison': 1}
  4 | A | Recover    ['0.15', '0.00', '0.20', '0.65']  55 | 100 |  0.01 | {'Poison': 2}
  5 | A | Attack     ['0.03', '0.00', '0.37', '0.60']  50 | 100 |  0.01 | {'Poison': 2}
  6 | A | Special    ['0.07', '0.01', '0.55', '0.37']  25 |  70 |  0.01 | {'Poison': 1}
  7 | A | Special    ['0.06', '0.02', '0.42', '0.50']  20 |  40 |  0.01 | {'Poison': 2}
  8 | A | Defend     ['0.13', '0.04', '0.47', '0.36']  15 |  50 |  0.01 | {'Poison': 1, 'Defend': 1}
  9 | A | Special    ['0.11', '0.04', '0.52', '0.34']  10 |  20 |  0.01 | {}
 10 | A | Special    ['0.21', '0.09', '0.35', '0.36']  10 |  20 |  0.00 | {}
 11 | A | Defend     ['0.22', '0.09', '0.33', '0.36']  10 |  30 |  0.01 | {'Defend': 1}
 11 | A | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 |  30 | -9.95 | {'Defend': 1}
  0 | B | Recover    ['0.04', '0.00', '0.75', '0.21']  95 | 100 | -0.01 | {'Poison': 1}
  1 | B | Special    ['0.05', '0.00', '0.74', '0.22']  90 |  70 |  0.01 | {}
