Epoch 1039
Wins - A: 0, B: 1

  3 | A | Attack     ['0.26', '0.00', '0.16', '0.58']  70 | 100 |  0.01 | {}
  4 | A | Defend     ['0.21', '0.00', '0.12', '0.67']  65 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
  5 | A | Attack     ['0.23', '0.00', '0.25', '0.52']  50 | 100 | 10.06 | {'Poison': 1}
  0 | B | Attack     ['0.06', '0.00', '0.68', '0.26']  80 | 100 |  0.01 | {}
  1 | B | Recover    ['0.10', '0.00', '0.61', '0.29']  60 | 100 | -0.01 | {}
  2 | B | Recover    ['0.10', '0.00', '0.61', '0.29']  60 | 100 | -0.01 | {}
  3 | B | Special    ['0.18', '0.00', '0.48', '0.34']  40 |  70 |  0.01 | {}
  4 | B | Attack     ['0.37', '0.00', '0.37', '0.26']  40 |  80 |  0.01 | {}
  5 | B | Attack     ['0.46', '0.00', '0.28', '0.26']  20 |  90 |  0.01 | {}
  6 | B | *KNOCKOUT* ['0.00', '0.00', '0.00', '0.00']   0 |  90 | -9.98 | {}

Epoch 1045
Wins - A: 2, B: 5

  0 | A | Recover    ['0.19', '0.00', '0.07', '0.75'] 100 | 100 | -0.01 | {}
  1 | A | Special    ['0.11', '0.00', '0.07', '0.83']  95 |  70 |  0.01 | {'Poison': 2}
  2 | A | Special    ['0.09', '0.00', '0.06', '0.85']  90 |  40 |  0.01 | {'Poison': 2}
  3 | A | Special    ['0.26', '0.00', '0.07', '0.66']  85 |  10 |  0.01 | {'Poison': 1}
  4 | A | Recover    ['0.20', '0.01', '0.04', '0.75']  80 |  70 |  0.01 | {'Poison': 2}
  5 | A | Recover    ['0.13', '0.00', '0.09', '0.78']  75 | 100 |  0.01 | {'Poison': 2}
  6 | A | Defend     ['0.03', '0.00', '0.10', '0.86']  70 | 100 |  0.01 | {'Poison': 2, 'Defend': 1}
  7 | A | Special    ['0.04', '0.00', '0.13', '0.83']  65 |  70 |  0.01 | {'Poison': 1}
  8 | A | Recover    ['0.12', '0.01', '0.35', '0.53']  40 | 100 |  0.01 | {}
